gene_name	chr	TSS	TSS_POL2_sig
PRKX-AS1	chrX	3659486	0.740749
ARHGAP27	chr17	45425633	2.66399
ZC3H18	chr16	88570402	97.1264
DRD5	chr4	9781633	0.0031609
ARHGAP24	chr4	85827936	0.99666
SMURF1	chr7	99144108	73.9296
MIR8068	chr11	28477548	0.0671694
COL17A1	chr10	104085880	0.0272503
WDR33	chr2	127811171	436.067
PRG2	chr11	57390650	0.0153621
ARHGAP39	chr8	144685846	83.9291
PDE2A	chr11	72642460	2.8217
TCERG1L	chr10	131311721	0.00033664
GALP	chr19	56176007	0.0438813
LOC100507564	chr1	53238609	131.849
STAM-AS1	chr10	17643918	171.661
ARID3A	chr19	926034	10.5642
TNFAIP8	chr5	119268758	170.268
MIR4738	chr17	75784607	47.8876
GPR137C	chr14	52552835	37.4487
TAMM41	chr3	11846885	230.07
WDR49	chr3	167657923	0.254161
LINC01356	chr1	112850643	0.015531
OR4F21	chr8	167024	0.00176668
PARGP1	chr10	45972428	134.71
EP300-AS1	chr22	41197501	1.45997
ACTRT1	chrX	128052403	0.00659938
HMGN4	chr6	26538365	82.4634
LINC00189	chr21	29193493	0.00053368
LINC02622	chr10	70939052	0.022482
GNRH1	chr8	25424261	1.1229
LRMDA	chr10	75782760	0.0364897
RAB3GAP2	chr1	220272453	190.27
DUSP3	chr17	43778977	48.5363
EXTL3	chr8	28701500	21.5985
TMOD3	chr15	51829652	123.229
PGA5	chr11	61241174	0.00119108
CALM1	chr14	90397028	359.236
GOLGA1	chr9	124941083	198.386
ZNF329	chr19	58150789	31.3238
MIR4715	chr15	25848825	0.0200216
ABI3BP	chr3	100993421	0.0229815
ARL9	chr4	56505208	23.7712
MIR514B	chrX	147250230	0.00550759
CFAP299	chr4	80335729	0.802081
OPRM1	chr6	154086506	0.216412
HCG4	chr6	29793073	0.00663463
LINC00662	chr19	27793940	153.301
MOK	chr14	102305164	0.960559
ZNF311	chr6	29005315	157.67
CEACAM7	chr19	41688270	0.0553039
CSTB	chr21	43776308	65.8954
WDFY4	chr10	48684872	0.00645008
ZNRD2-AS1	chr11	65570413	57.3724
PHYHD1	chr9	128922282	2.74914
RBM38-AS1	chr20	57393056	8.03079
C9orf92	chr9	16276313	0.00201504
PGLS	chr19	17511648	115.344
BCL6	chr3	187745468	262.14
PYURF	chr4	88523776	169.79
TMEM258	chr11	61792599	261.867
MICU2	chr13	21604170	310.098
PPP2R1B	chr11	111766389	206.477
HIGD2B	chr15	72686182	212.428
MOGS	chr2	74465382	146.982
LOC145845	chr15	36886533	0.127679
TM4SF4	chr3	149474696	0.0322108
SUCNR1	chr3	151873642	0.00137466
ADGB	chr6	146598971	0.00196352
SNAI1	chr20	49982979	505.437
IPO9-AS1	chr1	201829559	298.214
POLR2J3	chr7	102572621	8.3055
DCHS1	chr11	6655809	0.0182264
ADGRA1-AS1	chr10	133086697	0.0145656
DMXL1	chr5	119071054	176.296
UNC5D	chr8	35544391	0.0248585
FASTK	chr7	151080883	343.153
MIR6513	chr2	218280188	15.8234
KLRA1P	chr12	10599835	1.12381
ANKRD36C	chr2	95991824	45.3051
CCN6	chr6	112054103	0.017666
FLT3LG	chr19	49474214	8.96362
E2F2	chr1	23531233	64.8079
LINC01902	chr18	39841708	0.0308159
NFYB	chr12	104138210	93.1268
RAB7B	chr1	206003395	0.0246697
PABPC4-AS1	chr1	39565069	63.2529
SNORA40C	chr6	110848545	0.00803354
MAN2B1	chr19	12666777	32.4476
MIR518C	chr19	53708734	0.0858828
SOCS5	chr2	46698959	59.2395
MIR6806	chr19	58334687	0.48836
MTCP1	chrX	155071136	111.32
A2MP1	chr12	9234207	0.0091759
MAPKAPK3	chr3	50611861	170.269
SEPTIN14	chr7	55862752	0.0391085
SLC25A46	chr5	110739006	132.592
HMG20A	chr15	77420887	155.76
MIR4730	chr17	80419417	4.83172
MIR3667	chr22	49543466	2.79759
CD1A	chr1	158248335	0.0365368
LINC01146	chr14	88024549	0.00180538
SCNN1D	chr1	1280435	0.759961
PIEZO1	chr16	88785220	9.29983
MIR514A3	chrX	147282030	0.010275
TADA1	chr1	166876264	49.6249
LPAR3	chr1	84893206	0.00422817
RPL17	chr18	49492464	350.374
RAC2	chr22	37244269	44.5774
UBAP2L	chr1	154220848	222.033
MIR3939	chr6	166997912	5.83963
MKNK1-AS1	chr1	46538695	0.00494104
SNRK-AS1	chr3	43351962	6.96022
GRIN2A	chr16	10182067	0.146259
FBXO15	chr18	74147834	76.8132
LCE3D	chr1	152580516	0.0377469
PIK3R6	chr17	8867677	0.00784912
MIR10394	chr19	58393363	105.332
MAGED4B	chrX	52184822	0.00023
MAGED4B	chrX	52069272	0.00023
MAGED4B	chrX	52184822	0.00023
MAGED4B	chrX	52069272	0.00023
MAGED4B	chrX	52184822	0.00023
MAGED4B	chrX	52069272	0.00023
MPRIP	chr17	17042456	1.98875
MEAT6	chr6	164822063	0.0230402
CATSPERE	chr1	244461370	0.0111826
MIR101-2	chr9	4850296	2.44238
ZNF845	chr19	53333748	77.6876
REPS2	chrX	16946657	0.096799
IQSEC1	chr3	12967730	18.1826
RNF145	chr5	159208073	89.93
MIR4634	chr5	174751733	0.00313301
OR13C4	chr9	104527209	0.0700342
TSNAX	chr1	231528668	123.039
SIL1	chr5	139198368	131.731
NAA11	chr4	79326061	29.2843
LRRTM1	chr2	80304752	0.0453285
LINC01692	chr21	24840549	0.0408002
MIR29B1	chr7	130877539	0.182628
UBR5	chr8	102412700	185.797
MIR3689D2	chr9	134850356	0.00375348
CNKSR1	chr1	26177490	0.89187
PNPLA6	chr19	7534738	6.12363
MRRF	chr9	122264881	203.486
MIR6865	chr17	4970150	11.054
SH2D6	chr2	85418930	34.0506
ZNF818P	chr19	53212947	0.384068
GPX7	chr1	52602370	0.00583668
KCTD12	chr13	76886405	0.830435
MYL2	chr12	110920579	0.0124534
PRSS42P	chr3	46833823	0.00087257
EVC2	chr4	5708559	2.39973
IL20RB	chr3	136957982	0.928299
DKFZp451B082	chr6	163347033	0.0180059
HTR1E	chr6	86937527	0.0228899
ACO2	chr22	41469116	82.6858
MOGAT2	chr11	75717837	0.00114231
UBD	chr6	29559732	0.00504221
MIR1909	chr19	1816238	7.56296
TTC21B-AS1	chr2	165933856	1.37265
TMEM165	chr4	55395956	184.53
OR1L1	chr9	122661715	0.0307338
PWAR1	chr15	25135641	0.050753
DOK3	chr5	177510401	37.1464
HSPH1	chr13	31162021	45.4999
LINC01121	chr2	45254941	0.0120858
EIF4E	chr4	98929133	368.49
SLC35F3	chr1	233904675	0.0393278
VEGFB	chr11	64234583	10.0772
NAGPA	chr16	5033935	33.2215
KHDRBS3	chr8	135457455	7.74925
CAPNS2	chr16	55566683	0.115686
TNFAIP8L3	chr15	51094906	0.0152044
SIN3B	chr19	16829397	4.92751
WBP4	chr13	41061508	94.1482
MIR1-1HG	chr20	62550452	0.00335512
PCDHGA7	chr5	141382741	0.00528356
OR1F2P	chr16	3215561	0.0238713
MIR1224	chr3	184241404	71.4662
DLGAP1-AS1	chr18	3594113	40.8471
PRSS46P	chr3	46736427	0.0110175
POR	chr7	75915154	182.309
PAX5	chr9	37034268	0.0026716
DRD1	chr5	175444182	0.0252658
OR6J1	chr14	22634844	0.207141
ZNF717	chr3	75785549	62.9814
ZNF57	chr19	2900927	29.0285
LOC107984132	chr13	19118283	32.0545
GLG1	chr16	74607114	204.133
ZNF350	chr19	51986840	6.97116
BTBD11	chr12	107318433	0.197496
PECR	chr2	216081809	25.0427
CEP97	chr3	101724613	32.2748
GPAT2	chr2	96035245	0.00023
GPAT2	chr2	96035974	0.00023
GPAT2	chr2	96035245	0.00023
SLC18A3	chr10	49610309	0.00207476
RBM3	chrX	48574483	358.836
LINC02108	chr5	58558243	0.0777471
PTPRB	chr12	70610024	3.59526
RHOH	chr4	40197030	10.0142
SAR1A	chr10	70170514	441.896
XKR4	chr8	55102027	0.00323948
PROSER3	chr19	35758175	60.7888
OBP2A	chr9	135546125	0.0021118
NTS	chr12	85874294	0.0471423
PTGER4	chr5	40679914	0.00544847
TMPO	chr12	98515589	337.514
CDY2A	chrY	17880220	0.00023
CDY2A	chrY	18025786	0.00023
MYOC	chr1	171652688	0.00829095
LHX5-AS1	chr12	113472002	0.0662035
SNORA21	chr17	38852995	72.991
MIR892A	chrX	145996743	0.00221224
LDB3	chr10	86666787	0.00269711
ZNF852	chr3	44510617	64.2044
LINC01349	chr1	100647004	0.0210377
NDUFAF3	chr3	49021640	853.212
LOC340512	chr9	107102988	0.0125552
LOC644554	chr19	37817410	0.023064
LINC01755	chr1	55945086	0.0550054
SERPINB2	chr18	63887704	0.00598082
MGAT5	chr2	134119934	9.06127
MIR1302-10	chr1	30365	0.562995
ZNF579	chr19	55580848	17.9772
JPH3	chr16	87601834	0.00930155
SPATA31A7	chr9	60914406	0.00023
SPATA31A7	chr9	61190035	0.00023
AKT3	chr1	243851079	1.35563
ZNF337-AS1	chr20	25624044	238.098
KRTAP12-3	chr21	44657931	0.0437022
IL1RN	chr2	113117970	0.0202217
NXT2	chrX	109537204	168.998
PAEP	chr9	135561755	2.40236
LOC389199	chr4	7939000	0.0359569
SCRT1	chr8	144336482	0.079545
SERHL	chr22	42500578	50.4505
PRAMEF36P	chr1	13099717	0.00023
PRAMEF36P	chr1	13127068	0.00023
ADPRH	chr3	119579491	13.9407
LINC02268	chr4	174220398	0.069231
RASSF7	chr11	560969	47.5609
TRPM7	chr15	50686797	187.769
AP2B1	chr17	35587321	210.719
TKTL1	chrX	154305169	0.0506108
PRR18	chr6	166308392	0.00987051
MIR190A	chr15	62823956	0.00172918
BTRC	chr10	101354164	5.10858
TRMT44	chr4	8440776	66.1589
SPON1	chr11	13962722	0.00668428
CCL16	chr17	35981497	0.0991157
ERBB3	chr12	56080107	2.77359
LINC02156	chr12	47415007	0.156872
OR2G2	chr1	247588359	0.100777
VRK1	chr14	96797381	28.6975
PSORS1C1	chr6	31114799	0.0107021
CNTNAP3P2	chr9	67059459	0.00023
ENHO	chr9	34522990	0.0404605
EPM2AIP1	chr3	36993131	275.988
CCL18	chr17	36064271	0.0110863
ERICH3	chr1	74673792	0.00225783
CLEC3A	chr16	78022547	0.0130002
C9orf139	chr9	137027463	1.45371
SNORD113-3	chr14	100929918	0.0263008
PCSK2	chr20	17227039	0.0186935
EDNRB	chr13	77919768	0.0299775
HEBP1	chr12	13000265	6.89068
TRPV5	chr7	142933746	4.67213
PDIK1L	chr1	26111164	128.538
PGPEP1L	chr15	99007792	0.653028
TAS2R5	chr7	141790216	0.193793
SDHAF1	chr19	35995187	113.888
SELENOH	chr11	57741490	273.986
LDLR-AS1	chr19	11089659	653.102
ZNF790	chr19	36838387	13.3877
MAP3K8	chr10	30434645	50.1329
AICDA	chr12	8612859	0.0139392
PSME3IP1	chr16	57186116	145.459
GUCY2F	chrX	109482086	0.00671821
SNRNP40	chr1	31296788	431.703
MIR4762	chr22	45760523	1.02128
BNIPL	chr1	151036585	7.03573
ANKRD12	chr18	9136780	102.51
TAS2R3	chr7	141764096	4.85332
LINC02461	chr12	43155314	0.0152513
LINC01322	chr3	165206959	0.00447271
HGD	chr3	120682239	0.481169
ABCB6	chr2	219218958	102.744
SATB1	chr3	18425339	0.037881
LOC286297	chr9	63127100	0.00023
LOC286297	chr9	65878507	0.00023
INTS2	chr17	61927982	293.779
RCC1	chr1	28506042	3934.06
RIPOR3	chr20	50691542	28.6308
CPEB3	chr10	92291078	47.5341
NCR2	chr6	41335607	0.0207445
SNORD3F	chr8	20614926	0.0636428
CDIN1	chr15	36579625	117.8
CXCL2	chr4	74099195	121.604
LINC01429	chr20	51862913	0.0109994
IMMP1L	chr11	31509622	191.572
MIR4433A	chr2	64340758	0.012711
H1-3	chr6	26234987	737.445
IL32	chr16	3065402	0.0183402
G0S2	chr1	209675411	1.90514
FAM217A	chr6	4079137	0.00612042
COX6C	chr8	99893707	96.2182
TSPEAR-AS1	chr21	44506043	0.00578508
PTMAP11	chr9	96909074	0.00023
LIM2	chr19	51387974	0.0305632
PCID2	chr13	113208669	186.243
PEX7	chr6	136822591	63.8463
LGR5	chr12	71439797	0.0504174
KLF15	chr3	126357408	0.402926
SNAP25	chr20	10218955	0.0294723
PGPEP1	chr19	18340597	49.6723
GRK6P1	chr13	21319035	0.00337516
OR11H1	chr22	15528158	0.00023
BSG	chr19	572595	322.038
MIR147B	chr15	45433049	0.0475978
LRRC27	chr10	132332192	45.82
MFAP3	chr5	154038966	294.501
MBD3L2	chr19	7049339	0.00023
OTX2	chr14	56805667	0.00607047
DNASE2B	chr1	84408269	0.0393943
BMI1	chr10	22321098	67.7673
LINC01204	chrX	45505387	0.0178123
KCNE5	chrX	109625172	0.0111379
WIF1	chr12	65121305	0.0179435
GPRC5D	chr12	12950384	1.08585
GET1	chr21	39380243	39.172
DMD	chrX	31508298	0.123502
KIF3A	chr5	132737546	7.58792
TM9SF3	chr10	96587012	30.7434
LINC02217	chr5	17436736	0.0676909
PPCS	chr1	42456542	95.1909
MIR1185-2	chr14	101044197	0.00358692
PDE4DIPP6	chr1	148402505	2008.79
MECOM-AS1	chr3	169447866	0.0176022
RAF1	chr3	12664117	312.043
TEX101	chr19	43388610	0.0303764
KAT6B	chr10	74826412	64.7473
TMEM256-PLSCR3	chr17	7404131	69.31
LOC101927870	chr7	103445206	0.0154455
MIR4525	chr17	82668307	0.108605
VBP1	chrX	155216459	184.148
C14orf28	chr14	44897274	16.6745
CASS4	chr20	56412259	70.9715
POMGNT2	chr3	43106079	4.60622
SPARC	chr5	151686915	0.598329
SLC10A7	chr4	146521971	64.0542
MIR4300	chr11	81890836	0.0239221
LINC01609	chr8	111236203	0.0151825
GRB2	chr17	75405678	94.2355
GYPB	chr4	144019345	0.050636
ZNF563	chr19	12333633	10.998
MSH4	chr1	75796881	799.176
GON4L	chr1	155857214	153.044
LOC642846	chr12	9283656	59.487
IFT172	chr2	27489743	37.9351
TBC1D3B	chr17	36176624	0.00023
TRA2B	chr3	185938014	885.64
LRBA	chr4	151015727	378.041
TAFA3	chr1	112718904	0.0491293
RORA-AS2	chr15	60681568	0.0410843
LINC01001	chr11	131853	0.669849
SPRR2C	chr1	153141493	0.135623
RNASEH1-AS1	chr2	3558386	197.169
SCARNA18	chr5	83064337	0.810054
RIPOR2	chr6	24877270	0.10341
ICMT	chr1	6235964	62.4696
RNVU1-15	chr1	144412575	6099.89
ADGRL2	chr1	81699769	0.0392545
MTG1	chr10	133394156	108.896
DDX59	chr1	200669998	360.911
C1QTNF7-AS1	chr4	15427914	0.0974521
SSH2	chr17	29930040	72.2562
RPL19	chr17	39200282	404.701
FAM230A	chr22	18421383	0.00023
FAM230A	chr22	18422243	0.00023
MTRNR2L1	chr17	22523110	0.00909099
WDR26	chr1	224434797	137.135
MIR548AV	chr18	72853382	0.00774122
STOML1	chr15	73992295	27.85
CCNYL6	chr19	21750744	4.02153
LOC101928053	chr11	10809296	970.103
OXTR	chr3	8768731	0.0565182
CRY1	chr12	107093549	187.672
DAZAP1	chr19	1407585	25.8534
TXNDC16	chr14	52552583	41.0911
MMACHC	chr1	45500299	75.6348
GMEB2	chr20	63627101	141.927
ACTR3BP2	chr2	91941132	0.00037964
TSNAXIP1	chr16	67806888	41.7808
ANKRD18CP	chr9	97238742	130.895
ARL6IP1	chr16	18801549	541.46
GGT6	chr17	4560577	0.021589
INTU	chr4	127632956	39.9102
ZNF254	chr19	24087186	191.098
FLJ37453	chr1	15848147	3.63504
SRSF2	chr17	76737411	1146.43
LINC02693	chr17	21551678	7.59908
TICAM2	chr5	115602479	18.995
SLN	chr11	107712056	0.0677215
VMP1	chr17	59707653	333.284
LRRC23	chr12	6904821	11.4853
NPPC	chr2	231926396	0.0595685
SLC25A12	chr2	171894306	154.306
ANKRD13C	chr1	70354722	362.563
SLC17A7	chr19	49441527	0.0340652
LOC728613	chr5	1634005	163.291
PTCSC2	chr9	97853080	0.00330501
NUDT8	chr11	67629937	45.5962
MIR2117HG	chr17	43444706	0.0169787
HJV	chr1	146021735	4.54909
LOC100129636	chr6	29036020	0.0184654
DIAPH3-AS2	chr13	60144697	0.457306
DHRS13	chr17	28903079	6.67319
SH3GL1P1	chr17	32040335	0.249361
LOC93429	chr19	46210241	0.164563
PLSCR5	chr3	146606216	0.0422072
USP20	chr9	129835416	185.872
TAF1C	chr16	84187057	52.4934
NDUFB10	chr16	1959537	67.2069
ISYNA1	chr19	18438133	113.718
LOC101927502	chr9	81689712	0.00281444
PPP1R9B	chr17	50150677	2.22798
TMEM232	chr5	110726671	0.241174
LINC02540	chr6	76593623	0.0042976
MIR5011	chr18	67081583	0.00199416
ARRDC1-AS1	chr9	137618529	96.6484
EMG1	chr12	6970912	215.05
PHACTR2-AS1	chr6	143569339	0.00732484
IGFBPL1	chr9	38424454	0.00110813
MAPK7	chr17	19377749	71.0379
RGL4	chr22	23690860	3.15534
OR52N1	chr11	5788816	0.00243328
DNAJB9	chr7	108569873	431.498
LINC01509	chr9	107466585	0.128004
CHRM1	chr11	62921363	0.0269232
LOC646548	chr14	70187107	0.0020716
MIR640	chr19	19435062	8.04621
MYOZ1	chr10	73641474	0.00050921
MYOG	chr1	203086012	0.0114101
LOC643072	chr2	159615293	208.702
MIR217HG	chr2	56047326	0.0990226
PPP2R3A	chr3	135965727	4.82996
LINC00639	chr14	38916882	0.0477589
LINC02344	chr13	33335266	0.00203772
ARHGAP22-IT1	chr10	48511589	0.352683
CFAP58-DT	chr10	104353575	6.2748
SEMA6A	chr5	116574823	0.0332179
MIR4699	chr12	81158387	0.0267954
TRPS1	chr8	115668975	20.1029
LOC284191	chr17	16981353	0.0335544
FAM243B	chr21	7770548	0.00023
FAM243B	chr21	34401072	0.00023
ZNF567	chr19	36687611	86.3922
LINC02584	chr11	70075348	0.00987508
MIR1295B	chr1	171101738	0.125315
MIR378E	chr5	170028487	0.0535434
NECAP2	chr1	16440671	152.404
EPB41	chr1	28887090	57.5807
FKBP4	chr12	2794969	26.5838
ZNF723	chr19	22832290	0.0156476
KANSL1L-AS1	chr2	210029921	17.9724
PGM5P3-AS1	chr2	113542673	0.161797
PRR9	chr1	153217583	0.040415
MIR643	chr19	52281796	1.40596
IFIT1	chr10	89392545	0.167274
FOLR3	chr11	72135724	0.085583
GPR78	chr4	8580391	0.0273158
LINC02408	chr12	67520081	0.0554238
SLC22A13	chr3	38265811	0.623907
SPTSSB	chr3	161372083	0.0269152
WDR86	chr7	151410712	0.0103233
SNORD168	chr8	117920913	0.0399439
RS1	chrX	18672108	0.0249806
NCL	chr2	231464484	585.876
MIR3137	chr3	195134580	0.413888
PIWIL2	chr8	22275315	0.0669625
TMCO2	chr1	40247936	0.0393015
MIR6873	chr6	33287289	0.93304
SYNDIG1L	chr14	74426210	0.0251623
PIWIL1	chr12	130337886	0.00984917
RBM17	chr10	6089345	2.74371
DEFB112	chr6	50049929	0.0196795
FAM205A	chr9	34729488	0.0338238
CCDC154	chr16	1444489	20.9317
MTERF4	chr2	241102332	93.399
HEPN1	chr11	124919249	0.139527
STX17-AS1	chr9	99906601	64.5529
KCNT2	chr1	196608440	0.437551
CFAP20DC	chr3	59050025	34.6919
MT1A	chr16	56638665	0.0474269
LOC100131289	chr6	27761743	0.0501372
LOC107985856	chr2	20501524	0.0829296
FXN	chr9	69035751	35.1759
PFDN6	chr6	33289596	102.718
OR56A4	chr11	6003192	0.0192153
NR1H2	chr19	50376456	382.721
ZNF461	chr19	36666837	1.18642
GRIK3	chr1	37034515	0.00198932
DNAI3	chr1	85062297	0.0823635
C8orf34-AS1	chr8	68331491	0.04954
ST3GAL3-AS1	chr1	43727343	0.372369
NCAPH	chr2	96335765	234.777
CNTN4-AS2	chr3	2144241	0.0194621
MIR376B	chr14	101040435	0.0825952
SSC4D	chr7	76409697	2.30048
FNTB	chr14	64986894	56.173
MIR4496	chr12	108635809	1.13606
MACC1	chr7	20217384	9.03965
OR1F12	chr6	28073315	0.0211596
LINC01639	chr22	43400330	0.0337038
MIR1205	chr8	127960632	2.83427
LINC00343	chr13	105706829	0.0136103
SUB1	chr5	32585556	270.954
NHSL2	chrX	71911087	0.00159404
CERNA3	chr8	56074591	737.072
STAT2	chr12	56360107	66.9296
PAGE2	chrX	55089017	0.0452723
SNORA95	chr3	85062264	0.0410557
REEP5	chr5	112922227	132.365
OR8B4	chr11	124424871	0.030039
DENND1B	chr1	197775480	28.2529
MIR612	chr11	65444457	139.635
HEPHL1	chr11	94021353	0.0170649
AGAP1	chr2	235494042	1.066
CASTOR1	chr22	30289505	2.90157
ROCK1P1	chr18	112097	0.888854
MBOAT4	chr8	30144665	0.00560377
PSAPL1	chr4	7434930	0.00557815
LINC00672	chr17	38925167	2.08136
DTNA	chr18	34818380	0.0849827
RSAD1	chr17	50478859	50.9839
TAF9	chr5	69369520	375.274
PIM2	chrX	48919024	155.105
LOC101928058	chr8	1973345	0.032479
MAPRE1	chr20	32819953	15.9502
RPL36	chr19	5690294	584.633
SLC35D3	chr6	136922300	0.068159
P4HB	chr17	81860535	61.9291
LRRTM4-AS1	chr2	76985964	0.0140923
KIF2B	chr17	53822926	0.129787
CASC15	chr6	21666412	0.00150576
ATP13A5-AS1	chr3	193307243	0.0304141
LOC101928557	chr16	85792414	3.90985
NAIF1	chr9	128067320	48.9423
SNORD116-13	chr15	25079056	0.0354329
MRPL27	chr17	50373184	390.053
PRKCG	chr19	53882196	0.0366587
ZNF502	chr3	44712642	1.17849
ATP6AP2	chrX	40580969	58.7233
MIR519E	chr19	53679939	0.00474425
ZNFX1	chr20	49278057	170.351
NGB	chr14	77271312	0.00067184
LOC105371433	chr1	150160727	3.1205
MIR4671	chr1	234306466	0.0142771
GET3	chr19	12737105	85.1079
LOXL2	chr8	23404120	0.150525
TTTY5	chrY	22298876	0.00023
TATDN1	chr8	124539085	587.246
ZBTB38	chr3	141368503	71.8554
SNORA108	chr18	58600619	0.018365
IL17F	chr6	52244500	0.00990189
RPE	chr2	210002637	96.1379
BEND3	chr6	107115515	81.3387
OR52B6	chr11	5580876	0.00250624
STEAP1	chr7	90154468	2.1664
BPIFB3	chr20	33055330	0.0460616
LOC729218	chr4	118591743	61.2222
KCNJ11	chr11	17389157	0.845242
WSB1	chr17	27294113	526.727
LINC02186	chr16	14021077	0.191269
LAP3	chr4	17577197	82.4396
LOC102724849	chr2	215453706	0.0382624
GRK2	chr11	67266472	1.4521
SLC39A12	chr10	17951917	0.00230558
DTX2	chr7	76480509	0.248661
MIR653	chr7	93482855	0.0359301
ZBTB8A	chr1	32539426	0.0774637
ZNF385A	chr12	54391298	24.1193
VCP	chr9	35072308	257.556
LOC643327	chr6	3455702	0.02868
IL13RA1	chrX	118727605	17.155
BUB3	chr10	123154401	188.437
ST3GAL4	chr11	126355685	59.248
RNPEPL1	chr2	240568483	9.69596
MIR450A2	chrX	134540607	0.121997
YEATS4	chr12	69359742	221.362
MIR597	chr8	9741671	1.22097
ENDOV	chr17	80415166	43.8157
TRIM17	chr1	228416861	1.14335
HTR3C	chr3	184053046	0.0210502
CDRT15P2	chr17	15764702	0.00186348
NTN5	chr19	48673017	0.035702
DNAJA2	chr16	46973674	201.044
FSHB	chr11	30231013	0.131226
XIST	chrX	73852753	108.418
LOC101927446	chr7	90335222	1.33246
PIN1	chr19	9835206	28.9099
LINC00839	chr10	42475490	4.16087
MIR1180	chr17	19344574	1.55565
EEF1G	chr11	62573891	296.251
TANC2	chr17	62966234	8.02029
CHI3L1	chr1	203186704	0.0134339
MAP6	chr11	75668434	0.0116823
LOC101928985	chr11	115734762	0.0450872
TRIML1	chr4	188139440	0.0488457
NDUFB2	chr7	140696707	400.376
GLRX5	chr14	95535049	27.2784
EGFL8	chr6	32164594	30.897
SNORD116-18	chr15	25085383	0.0129981
LINC02297	chr14	18633634	0.00205224
LOC646214	chr15	21297829	0.00023
STK17A	chr7	43583107	74.9705
SNORA35	chrX	114630796	0.034053
ZNF442	chr19	12365683	81.7468
ZNF765	chr19	53395148	64.5245
AKAP17A	chrX	1591603	9.34269
PIN1P1	chr1	69919321	0.180983
NDUFB11	chrX	47145210	270.866
FAM72D	chr1	145094295	0.0993086
GPER1	chr7	1087117	0.153279
MLX	chr17	42567099	51.6502
HEXA	chr15	72376014	152.629
ABHD14A	chr3	51975063	38.9896
GSG1L	chr16	27888157	0.0503518
CATSPERG	chr19	38335829	26.6364
MIR4498	chr12	120155499	17.1574
FLJ40194	chr17	49248242	0.0217021
MIR1251	chr12	97491908	0.00585416
LINC00661	chr19	16015633	0.00364108
LHX6	chr9	122228957	0.476289
HYI	chr1	43453989	7.03702
ATN1	chr12	6927958	33.7602
AURKAP1	chr1	220267715	1.73228
LOC101929653	chr11	131540867	0.00166335
MAN2C1	chr15	75368607	455.994
OR2T2	chr1	248452797	0.00023
ABHD14A-ACY1	chr3	51975063	38.9896
GRAMD1B	chr11	123525625	0.0424595
LOC100506472	chr22	39432159	1.20714
LOC101927588	chr8	124247398	0.0264345
SEPTIN12	chr16	4788345	0.0778684
DNAL4	chr22	38794143	6.65524
RPS14	chr5	150449739	474.069
ZG16	chr16	29778255	0.0325835
LINC02089	chr17	52862120	0.00041232
MYBL2	chr20	43667113	19.0819
MAP2K6	chr17	69414696	0.185573
ZNF280D	chr15	56734086	10.8176
PRB1	chr12	11395566	0.00930891
LRRC8D	chr1	89821938	72.0288
VIPR1-AS1	chr3	42532606	0.0684244
IFNA16	chr9	21217311	0.00023
CCDC65	chr12	48904132	0.0432458
TIPIN	chr15	66356685	272.975
SNORD42B	chr17	28720549	454.283
NOL10	chr2	10689987	354.858
CCNT2-AS1	chr2	134918606	222.293
FRG1-DT	chr4	189940733	80.2262
LY86-AS1	chr6	6622826	0.0225314
BATF2	chr11	64996971	20.4725
HSPA12A	chr10	116742566	0.0196532
TPK1	chr7	144835940	134.427
MAGEE2	chrX	75785254	0.0346546
MCF2L2	chr3	183428269	30.9098
CACNG5	chr17	66835116	0.088106
PTS	chr11	112226427	230.674
EIF4E3	chr3	71725402	0.264772
MIR8088	chrX	52336642	0.0306979
NPY6R	chr5	137801192	0.0748238
VNN2	chr6	132763455	0.0796455
FOXG1-AS1	chr14	28765319	3.61308
LOC100505622	chr19	42132628	0.00776715
PIGX	chr3	196712376	34.9052
DIXDC1	chr11	111927143	82.4533
DPY19L2P3	chr7	29685153	22.1821
CFAP157	chr9	127706987	5.26678
MESP1	chr15	89751309	11.3657
KCNJ16	chr17	70104997	6.45834
PALM3	chr19	14057638	1.17388
LOC645188	chrX	141625863	0.00919024
POLR3E	chr16	22297408	61.0808
CEP295NL	chr17	78903201	0.08082
PRUNE2	chr9	76692415	0.113781
DMBT1	chr10	122560753	0.0553361
LOC116435278	chr7	425461	0.026838
UNC119B	chr12	120710457	27.4392
LOC642929	chr9	66164906	0.00023
OR3A4P	chr17	3310244	0.0147361
MARCHF7	chr2	159712505	351.631
DIPK1B	chr9	136712571	0.527259
RPL39	chrX	119791630	453.964
LINC02204	chr15	70586606	0.531054
CHRNA2	chr8	27479261	0.0780299
SWAP70	chr11	9664076	8.6892
LOC101929532	chr2	162114440	0.00567594
LOC101927911	chr17	2965895	0.0342826
NOXRED1	chr14	77423056	0.129956
LOC105370401	chr14	22432753	0.0284088
LOC283665	chr15	58065224	65.1628
LOC158434	chr9	96116411	0.0328842
RALYL	chr8	84183273	0.0286427
NKX2-5	chr5	173235206	0.004168
CALML4	chr15	68206110	23.5246
PRSS56	chr2	232520462	0.0130884
STPG2-AS1	chr4	97366925	0.0236025
PMEPA1	chr20	57690686	0.0663053
SNX30	chr9	112750759	133.362
SPATS2L	chr2	200306261	8.67779
LINC02158	chr3	42770611	0.678805
TNFRSF19	chr13	23579359	0.0652835
GARNL3	chr9	127264476	0.135198
