gene_name	chr	strand	gene_start	gene_end
TRPM4	chr19	+	49157791	49211836
ZNF548	chr19	+	57389853	57402992
ANKRD13A	chr12	+	109999429	110039763
MIR3154	chr9	-	128244946	128245030
OR14I1	chr1	-	248681368	248682304
XPNPEP1	chr10	-	109864765	109923553
E4F1	chr16	+	2223487	2235742
LOC101929473	chr11	+	127067001	127101306
HSPA2	chr14	+	64540467	64543236
LETM2	chr8	+	38386440	38394433
CTAGE1	chr18	-	22413598	22417915
C18orf54	chr18	+	54357916	54382035
MIR650	chr22	+	22822775	22822871
SCARNA18B	chr1	-	193057280	193057415
TLR2	chr4	+	153684279	153706260
ARHGAP28	chr18	+	6729715	6898721
TMEM222	chr1	+	27322244	27336400
LINC01744	chr1	-	232727253	232742715
LZTS1-AS1	chr8	+	20275772	20290458
KRTAP13-2	chr21	-	30371389	30372271
COL19A1	chr6	+	69866555	70212467
ERV3-1	chr7	-	65006069	65006687
LOC105369306	chr21	+	36104880	36109690
CCDC185	chr1	+	223393414	223395465
MTMR12	chr5	-	32227006	32312939
FRG2C	chr3	+	75664190	75667217
NAP1L6P	chrX	-	73126036	73128080
GATD3A	chr21	-	5116340	5128369
MS4A4A	chr11	+	60280665	60308970
MIR762	chr16	+	30893902	30893985
KRT222	chr17	-	40654664	40665177
MIR4758	chr20	-	62332486	62332557
MRFAP1L1	chr4	-	6707700	6709865
MADD	chr11	+	47269662	47330031
LINC01580	chr15	+	93900700	93973932
LOC101927157	chr4	+	47914226	47990737
GPR19	chr12	-	12660889	12696183
PTBP1	chr19	+	797451	812312
TSPAN7	chrX	+	38561541	38688918
NEK7	chr1	+	198156997	198322418
RHBDL2	chr1	-	38885806	38941830
IREB2	chr15	+	78438215	78476700
KCNC1	chr11	+	17735947	17777830
ALDOB	chr9	-	101420559	101435774
SERINC3	chr20	-	44496220	44522116
SMLR1	chr6	+	130827405	130837135
PGAM1P5	chr12	+	95649254	95673994
HSPC324	chr9	-	136648609	136660421
KRTAP1-4	chr17	-	41029676	41030125
MIR7150	chr9	-	123485528	123485622
TNFAIP3	chr6	+	137867258	137883312
MIR5197	chr5	+	143679859	143679971
MZF1-AS1	chr19	+	58559185	58574797
GALNT7	chr4	+	173168810	173323967
MT1IP	chr16	+	56676115	56677877
PCYT2	chr17	-	81900957	81911399
SPATA20	chr17	+	50547173	50555852
GRAMD1A	chr19	+	35000322	35026469
LINC02510	chr4	+	137193755	137199948
PSD4	chr2	+	113173970	113209391
TMEM30B	chr14	-	61277370	61281338
DYNC2LI1	chr2	+	43774038	43795177
DNMT3L	chr21	-	44246338	44261897
VGF	chr7	-	101162508	101165569
CTLA4	chr2	+	203867770	203873965
LRFN3	chr19	+	35936373	35946624
TNR	chr1	-	175315194	175743595
MIER3	chr5	-	56919601	56952130
TNFRSF6B	chr20	+	63696651	63698682
OTOF	chr2	-	26457202	26478124
SLC25A43	chrX	+	119399335	119454474
FGF1	chr5	-	142592177	142685680
ANGPTL5	chr11	-	101890673	101916522
ZDHHC8P1	chr22	-	23390604	23402612
MBD3	chr19	-	1573595	1592865
MARS2	chr2	+	197705368	197708395
HSF2BP	chr21	-	43529185	43659488
LOC100128076	chr9	+	92132833	92138629
AP1S2	chrX	-	15825805	15854813
SNORD113-7	chr14	+	100941125	100941201
LINC00608	chr2	+	218976283	218977922
MIR4676	chr10	+	72721028	72721100
HADH	chr4	+	107989888	108035171
PATE3	chr11	+	125788126	125791600
MIR1470	chr19	+	15449547	15449608
KIAA0232	chr4	+	6782731	6884172
SNX31	chr8	-	100572873	100618405
TRARG1	chr17	+	1279661	1300978
RPL23	chr17	-	38847859	38853721
MIR6794	chr19	+	12852259	12852327
CPA2	chr7	+	130266862	130289797
PLCXD2	chr3	+	111674675	111846447
DPP7	chr9	-	137110545	137114733
SHKBP1	chr19	+	40576872	40591397
YARS2	chr12	-	32746543	32755897
LINC01354	chr1	-	234527890	234531779
LINC01266	chr3	+	592104	846015
IGFBP2	chr2	+	216659566	216664435
PACRG-AS1	chr6	-	163309984	163324473
THOC3	chr5	-	175959530	175968315
MYL3	chr3	-	46857871	46863444
ARMCX5	chrX	+	102599514	102604157
MIR595	chr7	-	158532717	158532813
PRR20D	chr13	+	57160631	57163653
PRR20D	chr13	+	57167196	57170218
PRR20D	chr13	+	57147487	57150509
PRR20D	chr13	+	57140917	57143939
PRR20D	chr13	+	57154060	57157082
TTTY23	chrY	-	6242445	6243610
TTTY23	chrY	+	9910797	9911962
MINAR2	chr5	+	129748093	129766726
EBPL	chr13	-	49660673	49691486
CHRDL2	chr11	-	74696427	74711367
AMZ2	chr17	+	68248003	68257164
ZDHHC6	chr10	-	112430289	112446959
PPP1R27	chr17	-	81833491	81835050
LOC101929172	chr8	+	21298238	21309449
ANKRD63	chr15	-	40278371	40282586
CHL1-AS2	chr3	-	195757	197341
PPM1J	chr1	-	112709993	112715328
KCNQ5-IT1	chr6	+	72630494	72678558
LOC646736	chr2	+	226142793	226180062
C7orf77	chr7	-	124777291	124790810
EPX	chr17	+	58192725	58205174
NIT2	chr3	+	100334756	100361635
EFNA3	chr1	+	155078836	155087538
MIR548AJ1	chr6	-	132115191	132115263
SNORD115-7	chr15	+	25182384	25182466
SLC39A5	chr12	+	56230050	56237845
NECTIN3-AS1	chr3	-	111045315	111069959
BLVRA	chr7	+	43758672	43807342
H3C10	chr6	+	27810050	27810536
LINC00470	chr18	-	1268310	1359629
LINC01402	chrX	-	120117641	120119700
LINC01927	chr18	-	76622780	76639011
CYP7B1	chr8	-	64590850	64798737
MIR3200	chr22	+	30731556	30731641
FYTTD1	chr3	+	197749882	197787596
FAM71A	chr1	+	212624473	212626774
LINC01070	chr13	+	112197332	112201001
LIME1	chr20	+	63736663	63739103
MIR4424	chr1	+	178677748	178677834
SLC66A2	chr18	-	79902419	79951653
ZNF451-AS1	chr6	-	57114910	57172213
MIR4723	chr17	+	28360653	28360734
SLC35C1	chr11	+	45805148	45813016
MIR4316	chr17	-	77396983	77397054
NDST2	chr10	-	73801915	73811598
ZNF888	chr19	-	52904414	52923428
BCAP31	chrX	-	153700491	153724387
PMS2P4	chr7	-	67292435	67302442
JADE3	chrX	+	46912275	47061242
DBI	chr2	+	119366976	119372560
IL12RB2	chr1	+	67307872	67398722
BVES-AS1	chr6	+	105137686	105169944
PDP1	chr8	+	93916922	93926068
MIR4329	chrX	-	112780717	112780788
TRIM74	chr7	-	72959484	72969466
TMEM229A	chr7	-	124030920	124033067
ANKRD54	chr22	-	37830854	37849318
TRPV6	chr7	-	142871207	142885745
LINC01449	chr7	+	41101603	41133501
TBX5-AS1	chr12	+	114408194	114412832
IMPA2	chr18	+	11981506	12030877
LTBP2	chr14	-	74498182	74612237
LINC01194	chr5	+	12574856	12805183
LOC102724488	chr10	-	47744716	47763592
RUNDC3A-AS1	chr17	-	44299573	44308431
OR2A25	chr7	+	144074219	144075152
B4GAT1	chr11	-	66345373	66347629
SNX8	chr7	-	2251769	2314441
LINC01838	chr19	+	34905314	34908190
AOAH-IT1	chr7	-	36597833	36600120
CSN1S2BP	chr4	+	70133603	70146704
ABHD12	chr20	-	25300213	25390835
STPG3	chr9	+	137251260	137253483
KCNQ1DN	chr11	+	2870032	2872106
TMX4	chr20	-	7977345	8019761
SNORD116-28	chr15	+	25104640	25104733
SYNGR4	chr19	+	48364366	48376377
ZNF430	chr19	+	21020656	21060047
TFIP11	chr22	-	26491239	26512473
CCDC181	chr1	-	169394869	169460669
RGS6	chr14	+	71933526	72566530
C1QC	chr1	+	22643632	22648108
MS4A13	chr11	+	60515391	60542718
MIR548AP	chr15	+	85825634	85825730
MIR1184-3	chrX	-	154887359	154887458
MIR1184-3	chrX	-	155383099	155383198
MIR1184-3	chrX	+	155457516	155457615
NCBP2	chr3	-	196935401	196942440
CECR7	chr22	+	17036569	17060070
HIP1R	chr12	+	122835456	122862961
PROS1	chr3	-	93873050	93973896
RAD51AP2	chr2	-	17510580	17518440
SNORD78	chr1	-	173865621	173865686
LINC02287	chr14	-	92905696	92907482
ASF1A	chr6	+	118894151	118909170
C11orf49	chr11	+	46936760	47162247
MIR522	chr19	+	53751210	53751297
LOC101059915	chrX	+	71667701	71671524
KLHL40	chr3	+	42685536	42692544
SNORD115-36	chr15	+	25249197	25249279
TCEA2	chr20	+	64063197	64072347
PROM2	chr2	+	95274448	95291302
SON	chr21	+	33543037	33577514
FRK	chr6	-	115931148	116060891
ZGLP1	chr19	-	10304802	10309557
UCP1	chr4	-	140559430	140568961
OSBPL8	chr12	-	76351797	76559771
NKX2-1-AS1	chr14	+	36519277	36523016
TTR	chr18	+	31591876	31598821
NSG1	chr4	+	4386531	4419058
B3GLCT	chr13	+	31199974	31332274
PPM1F	chr22	-	21919424	21952848
KRT34	chr17	-	41377668	41382384
TPSD1	chr16	+	1256068	1259008
HES1	chr3	+	194136147	194138732
SV2A	chr1	-	149903319	149906991
LOC101929748	chr9	-	92805384	92808087
LINC-ROR	chr18	-	57054558	57072119
SNORD141B	chr6	-	73518244	73518438
LOC102723582	chr3	+	122416205	122443247
SNHG32	chr6	+	31834915	31839760
RFX2	chr19	-	5993163	6110500
ZNF8	chr19	+	58278954	58302791
LOC100996325	chr5	-	602168	612210
LOC100132686	chr11	+	112260264	112261396
SNORD3H	chr8	+	97358264	97358474
APCDD1L-DT	chr20	+	58515378	58619892
HP09053	chr3	-	99816631	99823865
FSD2	chr15	-	82755361	82806069
LINC02479	chr4	+	130376360	130388071
SH3BP5L	chr1	-	248810445	248825915
FEM1C	chr5	-	115520908	115544775
PBK	chr8	-	27809623	27837817
TUBA1B	chr12	-	49127783	49131395
OR5H2	chr3	+	98282887	98283832
SNORA3B	chr11	+	8685438	8685569
NOS1AP	chr1	+	162069690	162370475
DPYSL5	chr2	+	26848288	26950351
PCDHGA11	chr5	+	141421050	141512973
MBD3L1	chr19	+	8842592	8843340
FTHL18	chrX	-	37042874	37043792
HDAC10	chr22	-	50245183	50251265
LINC00907	chr18	+	42186667	42462183
TRAPPC8	chr18	-	31829198	31943128
KRTAP2-3	chr17	-	41059240	41060114
PCCA	chr13	+	100089092	100491818
TYMP	chr22	-	50525752	50530012
PDE1B	chr12	+	54549392	54579239
STYK1	chr12	-	10618922	10674052
CLU	chr8	-	27596916	27611437
IL12A-AS1	chr3	-	159913400	160207092
GAGE6	chrX	+	49341182	49529981
ZNF32-AS2	chr10	+	43645941	43648019
PATZ1	chr22	-	31340678	31346346
LINC00578	chr3	+	177441920	177752704
UBE2D4	chr7	+	43926435	43956136
FANCD2	chr3	+	10026436	10040686
UBE2B	chr5	+	134371568	134392108
LINC02410	chr12	+	95803096	95823314
H4C8	chr6	-	26285125	26285534
HIPK1-AS1	chr1	-	113924000	113929525
TOPAZ1	chr3	+	44241885	44332098
LOC102723704	chr4	+	102777036	102799575
CA3-AS1	chr8	-	85441805	85463054
RNF103	chr2	-	86603397	86623865
FBXW8	chr12	+	116910955	117031148
FBXO21	chr12	-	117141990	117190470
RBM12B	chr8	-	93728159	93741009
STK36	chr2	+	218672085	218702715
ENDOD1	chr11	+	95089845	95132645
THAP3	chr1	+	6624864	6633582
TRIM66	chr11	-	8612039	8658886
MRPL34	chr19	+	17305871	17306843
LINC02116	chr5	-	1855969	1856568
TMEM44	chr3	-	194587677	194633419
MIR7159	chr6	+	33899134	33899200
LOC100133315	chr11	-	71880703	71928459
SIAH1	chr16	-	48360535	48385413
USP18	chr22	+	18150169	18177395
LOC400627	chr17	-	80966238	80971213
APOA2	chr1	-	161222291	161223628
FGF18	chr5	+	171419646	171457626
LOC101929229	chr8	+	10840025	10846509
RASA4DP	chr7	-	102678707	102748694
COLGALT2	chr1	-	183935834	184037728
PPP3R1	chr2	-	68178856	68252532
ZDHHC15	chrX	-	75450317	75523037
RNF111	chr15	+	58987662	59097419
RSF1	chr11	-	77666228	77820834
ACRBP	chr12	-	6638074	6647432
LCE6A	chr1	+	152842855	152843983
LINC00645	chr14	+	27612587	27639636
LOC105375843	chr8	-	55517187	55520978
ZNF665	chr19	-	53162423	53193358
OR4N2	chr14	+	19803769	19830253
TCERG1L-AS1	chr10	+	131095217	131095777
ALG2	chr9	-	99216424	99221942
ASAH1	chr8	-	18055991	18084107
FAM230G	chr22	+	20338029	20352496
ARHGAP23	chr17	+	38428463	38512385
DGAT2L6	chrX	+	70177482	70205704
MIR365B	chr17	+	31575410	31575521
MIR8058	chr16	+	82688930	82689019
LINC02888	chr7	+	17374916	17467256
ALX1	chr12	+	85280219	85301783
FAM91A1	chr8	+	123768438	123815450
MIR598	chr8	-	11035205	11035302
PSMB7	chr9	-	124353464	124415442
MIR3936HG	chr5	-	132311275	132369916
AKT2	chr19	-	40230316	40285345
AIMP2	chr7	+	6009250	6023834
PKD1L2	chr16	-	81170289	81181331
RAD17	chr5	+	69369817	69414801
HCG15	chr6	+	28984748	28988567
S100A6	chr1	-	153534598	153535991
RNVU1-4	chr1	+	120942599	120942763
MIR6770-3	chr16	+	14930819	14930879
GK2	chr4	-	79406360	79408228
LINC01205	chr3	+	109409989	109495167
EPHX1	chr1	+	225810123	225845561
RNA5S8	chr1	-	228621444	228621565
DNAJC25	chr9	+	111631351	111654351
EHMT2	chr6	-	31879759	31897698
KIF20B	chr10	+	89701589	89774934
NOVA2	chr19	-	45933733	45973865
UPF1	chr19	+	18831958	18868230
MED28	chr4	+	17614640	17634103
MIR6742	chr1	-	228397047	228397109
MFN1	chr3	+	179347708	179394936
NPY	chr7	+	24284189	24291860
SNORD38A	chr1	+	44777841	44777912
TTLL4	chr2	+	218710834	218755415
CDK17	chr12	-	96278260	96400439
MTARC2	chr1	+	220748321	220784815
LOC400940	chr2	+	5981977	5988232
TPTE2	chr13	-	19422878	19561574
UBR3	chr2	+	169827453	170084129
CSKMT	chr11	+	62665311	62668108
GCSAML	chr1	+	247518451	247577690
REV1	chr2	-	99400476	99490017
MIR3923	chr3	+	79507886	79507969
ITPRIP	chr10	-	104309699	104338465
ODF3L1	chr15	+	75724040	75727688
STAG3L1	chr7	+	75359199	75367809
TLCD4	chr1	+	95117354	95197605
PIP	chr7	+	143132076	143139739
COX6A2	chr16	-	31427730	31428360
PPDPFL	chr8	+	49072343	49076093
FSTL5	chr4	-	161383896	162164000
NOL8	chr9	-	92297357	92325594
CERS3-AS1	chr15	+	100372938	100437914
TRMT11	chr6	+	125986539	126079726
MIR6724-1	chr21	+	8205314	8205406
MIR6724-1	chr21	+	8249504	8249596
MIR6724-1	chr21	+	8388361	8388453
MIR6724-1	chr21	+	8432529	8432621
MIR6724-1	chr22_KI270733v1_random	+	121580	121672
MIR6724-1	chrUn_GL000220v1	+	104731	104823
IL17RB	chr3	+	53846567	53865794
LOC145694	chr15	-	69396903	69415029
YWHAEP7	chr17	-	37842948	37884743
HSPB7	chr1	-	16014028	16019594
FCGRT	chr19	+	49513265	49526428
HIF1A-AS2	chr14	-	61747038	61749089
GRN	chr17	+	44345301	44353106
MRPL48	chr11	+	73787873	73865133
OR4S2	chr11	+	55650903	55651839
C10orf53	chr10	+	49679650	49697532
MIR4475	chr9	-	36823538	36823599
TTC9B	chr19	-	40216057	40218399
ATP2B1	chr12	-	89588048	89709366
PRAMEF4	chr1	-	12879211	12886201
TTC37	chr5	-	95463893	95554977
SLC35B4	chr7	-	134289331	134316930
TBATA	chr10	-	70771237	70782366
MIR1265	chr10	+	14436575	14436661
PRDM1	chr6	+	106098940	106109936
DLG1-AS1	chr3	+	197298246	197303750
LOC100996447	chr3	-	158545219	158571066
TXNDC12	chr1	-	52020131	52055191
ZNF286A	chr17	+	15699751	15720786
RNU6-2	chr19	+	1021521	1021628
IFNL2	chr19	+	39268395	39270188
EXT1	chr8	-	117794489	118111826
TMEM61	chr1	+	54980627	54992288
STRIP1	chr1	+	110034623	110054641
CCDC42	chr17	-	8729934	8744836
LOC100128288	chr17	-	8358412	8360541
CLIC6	chr21	+	34668993	34718223
FAM114A1	chr4	+	38867805	38945739
ARSA	chr22	-	50622753	50628152
MANEAL	chr1	+	37794101	37801606
PIK3IP1	chr22	-	31281610	31292488
CLIC2	chrX	-	155276210	155334614
MRPS21	chr1	+	150293860	150308979
ANKRD11	chr16	-	89286661	89490561
SERPINE3	chr13	+	51341031	51362103
SMPD2	chr6	+	109440723	109443919
TMEM187	chrX	+	153972753	153983194
ARPIN-AP3S2	chr15	-	89830598	89912952
CPPED1	chr16	-	12659798	12803887
HPGDS	chr4	-	94298534	94342836
LACC1	chr13	+	43879903	43893932
LOC100506124	chr2	-	165857475	165871941
ZNF175	chr19	+	51571282	51592510
LOC101928372	chr1	+	160932464	160949922
PSMD7	chr16	+	74296813	74306288
LINC01203	chrX	+	13335240	13341825
CBY1	chr22	+	38656652	38673851
NARS1	chr18	-	57600655	57621836
CD44	chr11	+	35139170	35232402
C20orf85	chr20	+	58150901	58161150
P4HA1	chr10	-	73007221	73096974
TSSK6	chr19	-	19514218	19515548
CES1P1	chr16	+	55760598	55774914
LIN37	chr19	+	35748575	35754519
FAM209A	chr20	+	56524743	56526152
NAPSA	chr19	-	50358476	50365639
SCAMP1	chr5	+	78360616	78480739
SNORD18C	chr15	-	66501251	66501318
MIR3150BHG	chr8	-	95066807	95072920
SOX2	chr3	+	181711924	181714435
PCED1B-AS1	chr12	-	47208419	47216443
TNFRSF10B	chr8	-	23020135	23069031
AARS2	chr6	-	44298730	44313347
OR4E2	chr14	+	21665082	21666024
FLJ39095	chr1	+	247104510	247109561
SPG11	chr15	-	44562695	44663662
TAC4	chr17	-	49838308	49848017
AKAP9	chr7	+	91940861	92110673
ADORA2A	chr22	+	24432118	24442361
XAF1	chr17	+	6756045	6775645
UST-AS2	chr6	-	149027228	149032661
RBM22	chr5	-	150690791	150701062
SMARCC2	chr12	-	56162358	56189483
RSAD2	chr2	+	6877776	6898239
DOCK8-AS1	chr9	-	213459	215750
RPA1	chr17	+	1830004	1900082
LINC02097	chr17	+	72072332	72093481
IFRD2	chr3	-	50287731	50292429
NECTIN4	chr1	-	161070997	161089558
FCF1	chr14	+	74713143	74738620
GUCY1B2	chr13	-	50994510	51066157
MRPL37	chr1	+	54200166	54225489
PLD1	chr3	-	171600403	171810483
MYCL	chr1	-	39899611	39901917
LINC02490	chr15	+	53116364	53129698
PLPP3	chr1	-	56494760	56579563
GPR21	chr9	+	123033666	123035665
SLC41A3	chr3	-	126006356	126084124
NEU3	chr11	+	74988932	75010907
CYP39A1	chr6	-	46549579	46652818
TRIM16L	chr17	+	18697997	18704547
ZBTB3	chr11	-	62750962	62754160
HELQ	chr4	-	83451865	83455883
LINC00373	chr13	+	88142866	88236082
LINC01167	chr10	-	132961339	132962237
MRPL36	chr5	-	1798384	1799837
PFN1P2	chr1	-	120432203	120434109
EIPR1	chr2	-	3188924	3377818
VENTX	chr10	+	133237854	133241928
MIR644A	chr20	+	34466324	34466418
RANBP17	chr5	+	170862017	171300015
MIR4787	chr3	+	50675079	50675163
FREM2-AS1	chr13	-	38821683	38827591
MIR624	chr14	-	31014645	31014742
LINC01419	chr8	+	83403757	83408897
TRPM5	chr11	-	2404515	2423045
ARFGEF1	chr8	-	67197659	67343781
STRADA	chr17	-	63702831	63741986
SF1	chr11	-	64764605	64778542
BPIFC	chr22	-	32413846	32457386
RPS6KC1	chr1	+	213051240	213274774
HSFY1P1	chr22	+	16827473	16829335
ANAPC5	chr12	-	121308244	121352411
MON1B	chr16	+	77191189	77202398
DDX53	chrX	+	22999959	23003589
COL10A1	chr6	-	116118908	116126132
C10orf55	chr10	-	73909968	73922777
SLC25A48	chr5	+	135834675	135888637
LOC101927690	chr14	+	56514330	56551309
FOXQ1	chr6	+	1312097	1314758
LY6D	chr8	-	142784881	142786539
THORLNC	chr2	-	118182921	118186386
SLC38A2	chr12	-	46358187	46372773
MIR4326	chr20	+	63286807	63286866
ZC3H7B	chr22	+	41301524	41360147
CT45A10	chrX	-	135881064	135893444
TTK	chr6	+	80004648	80042527
SCYL1	chr11	+	65525082	65538704
UTS2	chr1	-	7847611	7853491
LINC00366	chr13	+	38567723	38579516
TBX20	chr7	-	35231499	35254100
HACE1	chr6	-	104728093	104859919
OGDH	chr7	+	44606626	44676578
KLHL38	chr8	-	123644442	123653801
GABBR2	chr9	-	98288108	98708935
CHRNB1	chr17	+	7445060	7457710
LOC105372977	chr22	+	27187515	27189215
BANK1	chr4	+	101790606	102074812
CD40LG	chrX	+	136648157	136660390
TPI1P2	chr7	+	129055222	129057239
ABCA8	chr17	-	68867286	68955392
BCAR3-AS1	chr1	+	93591967	93600030
HTN3	chr4	+	70028458	70036538
CRCP	chr7	+	66114846	66154566
MIR3118-1	chrUn_GL000213v1	+	104741	104817
OR6C76	chr12	+	55426253	55427192
CGB8	chr19	-	49047637	49049111
N4BP2	chr4	+	40056849	40158252
LINC01106	chr2	-	110375108	110384536
MIR451A	chr17	-	28861368	28861440
LINC01185	chr2	-	60847759	60881314
EXO1	chr1	+	241848190	241889939
ARHGAP36	chrX	+	131058345	131089885
MIR4479	chr9	+	136886732	136886803
LINC00523	chr14	+	100657267	100672744
FBXO3-DT	chr11	+	33774698	33775670
ALPK2	chr18	-	58481249	58629091
ABHD17A	chr19	-	1876809	1885496
ARHGEF11	chr1	-	156934839	157045742
MIR4431	chr2	-	52702521	52702615
IFT140	chr16	-	1510426	1612072
SPRED1	chr15	+	38252835	38357249
IFIT3	chr10	+	89327996	89340968
MIR4800	chr4	-	2250076	2250156
GRHL1	chr2	+	9951692	10002277
PWRN2	chr15	-	24164776	24169948
CABCOCO1	chr10	+	61662928	61766766
LPAR1	chr9	-	110873262	111038998
WTIP	chr19	+	34481757	34512304
VWA5B1	chr1	+	20290874	20359518
HNRNPA2B1	chr7	-	26189926	26200746
KCND2	chr7	+	120273174	120750335
PLCB1	chr20	+	8132265	8884900
MVB12B	chr9	+	126326828	126397637
PGBP	chr1	-	111384518	111389851
LINC01554	chr5	+	95852231	95860132
DDR2	chr1	+	162631974	162787405
GK3P	chr4	-	165277791	165280023
B3GALT1	chr2	+	167293000	167874044
UGT2A1	chr4	-	69588416	69647698
USP22	chr17	-	20999595	21043011
RNU5F-1	chr1	-	44721785	44721901
IQCH-AS1	chr15	-	67514920	67521062
GPS1	chr17	+	82051897	82058064
LOC254896	chr8	+	23084354	23103557
MIR6855	chr9	+	129869604	129869671
MYH4	chr17	-	10443290	10469559
RNA18SN1	chr21	+	8209630	8211499
RNA18SN1	chr21	+	8392665	8394534
RNA18SN1	chr21	+	8436875	8438744
RNA18SN1	chr22_KI270733v1_random	+	125930	127799
RNA18SN1	chrUn_GL000220v1	+	109077	110946
MIR1231	chr1	+	201808610	201808702
ZMPSTE24	chr1	+	40258235	40294180
KIAA0040	chr1	-	175156985	175192776
LOC105372653	chr20	+	49915821	49928821
SMIM7	chr19	-	16652355	16660144
SELENOW	chr19	+	47778702	47784682
PNMA1	chr14	-	73711782	73714384
RALY	chr20	+	33993910	34084884
LBP	chr20	+	38346481	38377013
OR2L1P	chr1	+	247990266	247991191
CLEC14A	chr14	-	38253999	38256093
LINC00702	chr10	-	4206875	4243912
LINC01994	chr3	-	182446969	182486362
RAB6A	chr11	-	73675637	73761074
C17orf50	chr17	+	35760886	35765079
ITGB5	chr3	-	124761948	124887365
WFDC21P	chr17	-	60083565	60088467
ANKRD52	chr12	-	56237806	56258384
SNORD93	chr7	+	22856612	22856686
ENOPH1	chr4	+	82430589	82461177
TFE3	chrX	-	49028725	49043357
GOLGA8IP	chr15	+	30604029	30611752
CCNYL1	chr2	+	207711539	207756172
IGF2R	chr6	+	159969081	160111502
LINC01405	chr12	+	110936601	110937446
MIR519B	chr19	+	53695212	53695293
ACTR3-AS1	chr2	-	113831182	113890992
OPN1LW	chrX	+	154144242	154159032
PGGT1B	chr5	-	115204013	115262877
ZNF497	chr19	-	58354356	58362751
PUS10	chr2	-	60940412	61017431
EEF1AKNMT	chr1	+	171781659	171797716
HNRNPCL4	chr1	+	13061160	13062873
HNRNPCL4	chr1	-	13163918	13165631
SLC39A7	chr6	+	33200866	33204437
ADCK5	chr8	+	144374046	144393238
SNHG22	chr18	+	49814022	49851059
MAGI1-AS1	chr3	+	65893815	65925297
LINC01726	chr20	-	21610786	21703585
MIR99A	chr21	+	16539088	16539169
ZMYND15	chr17	+	4740014	4746119
TYRO3P	chr15	-	76259288	76260152
LINC00884	chr3	+	194487139	194488545
CTDSPL2	chr15	+	44427628	44529038
GOLGA8A	chr15	-	34379068	34437466
MEF2B	chr19	-	19145566	19170263
LINC00673	chr17	-	72403321	72592804
MIR4289	chr9	-	88745835	88745905
CIDEA	chr18	+	12254360	12277595
DSEL	chr18	-	67506586	67516720
FABP5	chr8	+	81280535	81284775
SERPINA11	chr14	-	94442463	94452800
SPATA45	chr1	-	212830142	212847649
PIGM	chr1	-	160024952	160031990
MACROH2A1	chr5	-	135334380	135399231
FTCD	chr21	-	46136779	46155579
LINC02302	chr14	-	44763156	44799126
LINC00881	chr3	+	157089880	157101135
LOC389895	chrX	+	140091666	140092911
EXD3	chr9	-	137366144	137423162
SLC5A6	chr2	-	27199586	27212268
DYNC1I2	chr2	+	171687754	171748419
MIR1244-3	chr2	+	231713313	231713395
ADAM28	chr8	+	24294068	24359014
MAGED1	chrX	+	51803075	51902354
BIN3	chr8	-	22620710	22669148
TMSB4X	chrX	+	12975109	12977220
KPTN	chr19	-	47475149	47484219
GRHL2	chr8	+	101492438	101669724
ELOA	chr1	+	23743365	23762059
KCNG2	chr18	+	79863667	79899816
MIR21	chr17	+	59841265	59841337
INTS12	chr4	-	105682627	105708724
MAL2-AS1	chr8	-	119214622	119246857
CNTLN	chr9	+	17135039	17503923
LINC02251	chr15	+	98003037	98022338
LRRC4	chr7	-	128027070	128031437
MIR4661	chr8	+	91205484	91205558
MIR3919	chr3	+	159282645	159282734
KRTAP5-6	chr11	+	1697194	1697755
TRIO	chr5	+	14143341	14510204
RPL26	chr17	-	8377515	8383193
ARPC1B	chr7	+	99374729	99394816
CYP4B1	chr1	+	46799045	46819413
INO80C	chr18	-	35468332	35497608
CHD6	chr20	-	41402082	41618377
MFSD6L	chr17	-	8797109	8799365
EDRF1	chr10	+	125719514	125764143
PRAMEF15	chr1	+	13315580	13322598
CFAP91	chr3	+	119703021	119767102
CEP19	chr3	-	196706276	196712250
LNCNEF	chr20	-	22587521	22607517
WDR6	chr3	+	49007390	49015951
HLA-DRA	chr6	+	32439886	32445046
ELMO3	chr16	+	67199130	67204004
ROCK1	chr18	-	20946905	21111813
GABPA	chr21	+	25734971	25772460
SAMD1	chr19	-	14087853	14090751
EIF3C	chr16	-	28379581	28426454
SBK2	chr19	-	55528610	55537133
MAGEB5	chrX	+	26216168	26218270
MSMB	chr10	-	46033313	46046269
PRKY	chrY	+	7273971	7381547
CRYGS	chr3	-	186538442	186544380
MSC-AS1	chr8	+	71843122	72056312
ERO1B	chr1	-	236215100	236281958
MPP5	chr14	+	67241434	67336061
LINC01810	chr2	-	5810635	5812596
KCTD3	chr1	+	215567303	215621807
ADAM29	chr4	+	174918357	174978180
FAM177A1	chr14	+	35046271	35083378
PSMB8-AS1	chr6	+	32844085	32846500
LOC101928370	chr1	-	101234872	101236528
MIR631	chr15	-	75353610	75353685
SLC25A19	chr17	-	75272979	75289449
TAC3	chr12	-	57009999	57016529
VIP	chr6	+	152750796	152759760
CEP43	chr6	+	166999316	167042418
LOC101929572	chr14	+	19421025	19424584
LOC101927188	chr18	+	6954676	6957418
G6PC	chr17	+	42900798	42914438
SNORD19B	chr3	+	52690737	52690830
OR14A16	chr1	-	247814799	247815729
OR10G2	chr14	-	21633835	21634940
SNORD115-38	chr15	+	25239837	25239919
PRDM2	chr1	+	13749414	13788081
PAPSS1	chr4	-	107613665	107720234
HEXA-AS1	chr15	+	72376112	72378788
